iConf CONFORMER     FL  occ    crg   Em0  pKa0 ne nH    vdw0    vdw1    tors    epol   dsolv   extra    history
00001 KIM01B0003_001 f 0.00 -0.483     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.021 01O000M000t
00002 KIM01B0003_002 f 0.00 -0.483     0  0.00  0  0   0.000   0.000   0.000   0.000  -0.034   0.021 01O000M000t
00003 KIM+1B0003_003 f 0.00  0.512     0  0.00  0  0   0.000   0.000   0.000   0.000  -0.054   2.180 +1O000M000t
00004 KIM+1B0003_004 f 0.00  0.512     0  0.00  0  0   0.000   0.000   0.000   0.000   1.740   2.180 +1O000M000t
00005 KIM+1B0003_005 f 0.00  0.512     0  0.00  0  0   0.000   0.000   0.000   0.000   1.385   2.180 +1O000M000t
00006 KIM+1B0003_006 f 0.00  0.512     0  0.00  0  0   0.000   0.000   0.000   0.000   0.480   2.180 +1O000M000t
00007 KIM02B0003_007 f 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   2.722 02O000M000t
00008 KIM02B0003_008 f 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000  -0.386   2.722 02O000M000t
00009 KIMDMB0003_009 t 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.000         DMt
