iConf CONFORMER     FL  occ    crg   Em0  pKa0 ne nH    vdw0    vdw1    tors    epol   dsolv   extra    history
00001 0LI+1C0011_001 f 0.00  1.004     0  0.00  0  0   0.000   0.000   0.000   0.000   0.127   0.316 +1O000M000t
00002 0LI+2C0011_002 f 0.00  1.002     0  0.00  0  0   0.000   0.000   0.000   0.000   0.301   0.573 +2O000M000t
00003 0LI01C0011_003 f 0.00 -0.002     0  0.00  0  0   0.000   0.000   0.000   0.000   0.164   2.030 01O000M000t
00004 0LIDMC0011_004 t 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.000         DMt
00005 0LI+1D0007_001 f 0.00  1.004     0  0.00  0  0   0.000   0.000   0.000   0.000   0.006   0.316 +1O000M000t
00006 0LI+2D0007_002 f 0.00  1.002     0  0.00  0  0   0.000   0.000   0.000   0.000   0.210   0.573 +2O000M000t
00007 0LI01D0007_003 f 0.00 -0.002     0  0.00  0  0   0.000   0.000   0.000   0.000   0.150   2.030 01O000M000t
00008 0LIDMD0007_004 t 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.000         DMt
